issn,title,sjr_quartile,sjr_score
1614-2411,4OR,Q2,0.749
1619-4500,4OR,Q2,0.749
2295-9149,@GRH,Q4,0.102
2034-9130,@GRH,Q4,0.102
0858-0855,ABAC Journal,Q1,0.242
2167-8375,ACM Transactions on Economics and Computation,Q2,0.708
2167-8383,ACM Transactions on Economics and Computation,Q2,0.708
1046-8188,ACM Transactions on Information Systems,Q1,1.54
1558-2868,ACM Transactions on Information Systems,Q1,1.54
2158-6578,ACM Transactions on Management Information Systems,Q1,0.973
2158-656X,ACM Transactions on Management Information Systems,Q1,0.973
2305-7394,ACRN Journal of Finance and Risk Perspectives,Q4,0.132
2473-3458,AIS Transactions on Replication Research,Q4,0.152
1869-8182,AMS Review,Q2,1.288
1869-814X,AMS Review,Q2,1.288
2655-8807,APTISI Transactions on Technopreneurship,Q3,0.266
2656-8888,APTISI Transactions on Technopreneurship,Q3,0.266
0515-0361,ASTIN Bulletin,Q1,1.138
1783-1350,ASTIN Bulletin,Q1,1.138
1543-866X,ATA Journal of Legal Tax Research,Q3,0.149
0001-3072,Abacus,Q3,0.484
1467-6281,Abacus,Q3,0.484
1012-8255,Academia Revista Latinoamericana de Administracion,Q2,0.405
2056-5127,Academia Revista Latinoamericana de Administracion,Q2,0.405
2281-3993,Academic Journal of Interdisciplinary Studies (discontinued),-,
2281-4612,Academic Journal of Interdisciplinary Studies (discontinued),-,
2335-4194,Academica Turistica,Q3,0.213
1855-3303,Academica Turistica,Q3,0.213
1941-6520,Academy of Management Annals,Q1,13.877
1941-6067,Academy of Management Annals,Q1,13.877
0065-0668,Academy of Management Annual Meeting Proceedings,-,0.144
2151-6561,Academy of Management Annual Meeting Proceedings,-,0.144
2168-1007,Academy of Management Discoveries,Q1,3.207
0001-4273,Academy of Management Journal,Q1,10.528
1537-260X,Academy of Management Learning and Education,Q1,1.848
1558-9080,Academy of Management Perspectives,Q1,5.063
0363-7425,Academy of Management Review,Q1,14.402
1468-4489,Accounting Education,Q1,1.054
0963-9284,Accounting Education,Q1,1.054
0155-9982,Accounting Forum,Q1,0.923
1467-6303,Accounting Forum,Q1,0.923
0148-4184,Accounting Historians Journal,Q1,0.256
2327-4468,Accounting Historians Journal,Q1,0.256
1032-3732,Accounting History,Q1,0.549
1749-3374,Accounting History,Q1,0.549
2155-2851,Accounting History Review,Q1,0.345
2155-286X,Accounting History Review,Q1,0.345
0888-7993,Accounting Horizons,Q1,1.333
1558-7975,Accounting Horizons,Q1,1.333
1911-3838,Accounting Perspectives,Q2,0.526
1911-382X,Accounting Perspectives,Q2,0.526
1030-9616,Accounting Research Journal,Q2,0.469
0001-4826,Accounting Review,Q1,4.045
1558-7967,Accounting Review,Q1,4.045
2159-4260,Accounting and Business Research,Q2,0.852
0001-4788,Accounting and Business Research,Q2,0.852
1467-629X,Accounting and Finance,Q1,0.895
0810-5391,Accounting and Finance,Q1,0.895
1530-9320,Accounting and the Public Interest,Q4,0.15
1744-9499,Accounting in Europe,Q1,0.949
1744-9480,Accounting in Europe,Q1,0.949
0951-3574,"Accounting, Auditing and Accountability Journal",Q1,1.688
2152-2820,"Accounting, Economics and Law: A Convivium",Q1,0.52
