issn,title,rating
1557-7341,ACM Computing Surveys,A
1532-0936,ACM SIGMIS Database: The DATA BASE for Advances in Information Systems,B
1557-7325,ACM Transactions on Computer-Human Interaction,B
2573-9522,ACM Transactions on Human-Robot Interaction,B
1558-2868,ACM Transactions on Information Systems,B
2160-6463,ACM Transactions on Interactive Intelligent Systems,B
2158-6578,ACM Transactions on Management Information Systems,B
1557-7392,ACM Transactions on Software Engineering and Methodology,B
1435-5655,"AI & Society: Knowledge, Culture and Communication",C
1867-7134,AIS Transaction on Enterprise Systems,C
1944-3900,AIS Transactions on Human-Computer Interaction,B
2473-3458,AIS Transactions on Replication Research,C
1941-6067,Academy of Management Annals,A
2168-1007,Academy of Management Discoveries,B
1948-0989,Academy of Management Journal,A+
1944-9585,Academy of Management Learning & Education,B
1943-4529,Academy of Management Perspectives,B
1930-3807,Academy of Management Review,A+
1930-3815,Administrative Science Quarterly,A+
0742-3322,Advances in Strategic Management,B
2332-2381,Africa Journal of Management,C
1572-9338,Annals of Operations Research,B
1872-9118,Applied Energy,B
1872-7921,Artificial Intelligence,B
1743-792X,Asia Pacific Business Review,C
1572-9958,Asia Pacific Journal of Management,C
1476-9328,Asian Business & Management,C
1326-2238,Australian Journal of Information Systems,C
1327-2020,Australian Journal of Management,C
1362-3001,Behaviour & Information Technology,B
0340-5370,Betriebswirtschaftliche Forschung und Praxis : BFuP,C
1467-8551,British Journal of Management,B
1867-0202,Business & Information Systems Engineering,B
1552-4205,Business & Society,B
2153-3326,Business Ethics Quarterly,B
2694-6424,"Business Ethics, the Environment & Responsibility",C
1873-6068,Business Horizons,C
1758-4116,Business Process Management Journal,C
2340-9444,Business Research Quarterly,C
1099-0836,Business Strategy and the Environment,B
2162-8564,California Management Review,B
1936-4490,Canadian Journal of Administrative Sciences,C
1557-7317,Communications of the ACM,B
1529-3181,Communications of the Association for Information Systems,B
1558-0814,Computer,B
1872-7069,Computer Networks,C
1573-7551,Computer Supported Cooperative Work,B
1873-782X,Computers & Education,B
1873-765X,Computers & Operations Research,B
1872-6208,Computers & Security,B
1873-7692,Computers in Human Behavior,B
1872-6194,Computers in Industry,B
1467-8683,Corporate Governance: An International Review,B
1758-6054,Corporate Governance: The International Journal of Business in Society,C
1758-6062,Critical Perspectives on International Business,C
2059-5808,Cross Cultural & Strategic Management,C
1872-6933,Data & Knowledge Engineering,B
1862-2607,Datenschutz und Datensicherheit,D
1540-5915,Decision Sciences,B
1873-5797,Decision Support Systems,B
2942-318X,Die Unternehmung - Swiss Journal of Business Research and Practice,C
2666-9544,Digital Business,C
1873-7374,Economics Letters,B
1750-6204,Economy - JEC,C
1572-9362,Electronic Commerce Research,C
1873-7846,Electronic Commerce Research and Applications,C
1422-8890,Electronic Markets : EM,B
1873-6785,Energy,B
2520-8942,Energy Informatics,C
1866-3621,Enterprise Modelling and Information Systems Architectures,C
2353-8821,Entrepreneurial Business and Economics Review: EBER,D
2157-5665,Entrepreneurship Research Journal,C
1540-6520,Entrepreneurship Theory and Practice,A
1464-5114,Entrepreneurship and Regional Development,B
2147-4281,Eurasian Business Review,D
1758-7107,European Business Review,B
1476-9344,European Journal of Information Systems,A
1758-7115,European Journal of Innovation Management,C
